name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,dissolution_date,date_of_organization_meeting,reason_for_administrative,mailing_address
GRIFFWORX LLC,LLC,Active,,1362977,2022-03-31,1044 EAST ST N,SUFFIELD,United States,06078,CT,mirandasommer7@gmail.com,Domestic,2020-10-17,CT,Connecticut,True,False,True,False,False,Other Specialized Design Services (541490),,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
EMBRACE ANIMAL HOSPITAL LLC,LLC,Active,,1362978,2022-03-31,94 CROSS BROOK ROAD,WOODBURY,United States,06798,CT,jasonscozzafava@msn.com,Domestic,2020-10-17,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
RWL CONSULTING AND SERVICES LLC,LLC,Active,,1362979,2022-03-31,15 HEATHER LANE,SOMERS,United States,06071,CT,rwlconsulting@outlook.com,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",811121.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
TREEHOUSE MUSIC SCHOOL LLC,LLC,Active,,1362980,2022-03-31,31 DORETHY ROAD,REDDING,United States,06896,CT,sarah@treehousemusicschool.com,Domestic,2020-10-17,CT,Connecticut,True,False,False,True,False,Fine Arts Schools (611610),611699.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
"THREE KEYS PROPERTIES, LLC",LLC,Active,,1362981,2022-03-31,6 STONER DRIVE,WEST HARTFORD,United States,06107,CT,dr_scaringe@yahoo.com,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
"VISIONARY PROPERTY GROUP, LLC",LLC,Active,Annual report past due,1362982,2021-03-31,472 WOLCOTT HILL RD,WETHERSFIELD,United States,06109,CT,VISIONARYPROPERTYGROUPLLC@GMAIL.COM,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
K & J ROSE SPA INC,Stock,Active,Annual report past due,1362983,2022-03-15,92 WHITING ST UNIT3,PLAINVILLE,United States,06062,CT,HENGTONGTAX555@GMAIL.COM,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,200.0,,,,,,
FLAT 6 REALTY LLC,LLC,Active,,1362984,2022-03-31,52 NOTTINGHAM BLVD,UNIONVILLE,United States,06085,CT,jeremyprudhomme@gmail.com,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
KALOVA COMPANY LLC,LLC,Active,,1362985,2022-03-31,14 PATTERSON AVE,STRATFORD,United States,06614,CT,kalovacompany@gmail.com,Domestic,2020-10-17,CT,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,,,,
CLAIRE HURWITT LLC,LLC,Dissolved,,1362986,2021-03-31,143 LOOMIS DRIVE UNIT A2,WEST HARTFORD,United States,06107,CT,COACHINGWCLAIRE@GMAIL.COM,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:42.7433333,,,,,,,,,,,,,,,,,,,2021-04-05T00:00:00.000,,,
GALLEY BAKES LLC,LLC,Active,Annual report past due,1362987,2021-03-31,108 ATWATER ST.,NEW HAVEN,United States,06513,CT,EC0487@GMAIL.COM,Domestic,2020-10-17,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
ROADSIDE RANCH FARRIER SERVICE LLC,LLC,Active,,1362988,2022-03-31,120 MULLEN HILL RD,WINDHAM,United States,06280,CT,rrescueranch@gmail.com,Domestic,2020-10-17,CT,Connecticut,True,False,False,False,False,Horses and Other Equine Production (112920),112920.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
BRITTANY A. WORD LLC,LLC,Dissolved,,1363005,2022-03-31,135 SPRING STREET,STRATFORD,United States,06614,CT,brittanyword123@gmail.com,Domestic,2020-10-17,CT,Connecticut,True,False,True,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,2021-07-15T00:00:00.000,,,
"GRASS LAKE INSURANCE AGENCY, INC.",Stock,Active,,1353181,2022-10-19,5151 CORPORATE DRIVE,TROY,United States,48098,MI,GRASSLAKEINSURANCE@FLAGSTAR.COM,Foreign,2020-10-19,MI,MI,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:12:43.3533333,2020-10-30,"GRASS LAKE INSURANCE AGENCY, INC.",United States,,,,,,,,,,,,,,,,,,,
JAE NICOLE LLC,LLC,Active,Annual report past due,1355727,2021-03-31,25A LINDENWOODS RD,NORWALK,,06851,CT,JNICOLE1009@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:39.6333333,,,,,,,,,,,,,,,,,,,,,,
MUOTOS LLC,LLC,Active,Annual report past due,1362989,2021-03-31,"415 BOSTON POST RD, STE 3552",MILFORD,United States,06460,CT,MUOTOS@MUOTOS.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
"STRATIFIED ENTERTAINMENT, LLC",LLC,Dissolved,,1362991,2021-03-31,88 OAK STREET,NEW BRITAIN,United States,06051,CT,DAVIDBEACH12@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,True,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",711320.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,2021-04-19T00:00:00.000,,,
BAYKUS PROPERTIES LLC,LLC,Active,,1362994,2022-03-31,39 KIMBERLY DR,MONROE,United States,06468,CT,melissabaykus@yahoo.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
LAYER OF LIGHT REIKI LLC,LLC,Active,,1362996,2022-03-31,143 WEST ST SUITE104 C,NEW MILFORD,United States,06776,CT,d_rom@icloud.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
DAZY GENERAL SERVICES LLC,LLC,Active,Annual report past due,1362998,2021-03-31,11 STARR AVE 1 FL,DANBURY,United States,06810,CT,DAZIELLYTHIAGO@HOTMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
STABILITY HEALTHCARE INC.,Stock,Active,,1362999,2022-10-19,"2301 EAST 7TH STREET, SUITE A215",LOS ANGELES,United States,90023,CA,JENNIFER@STABILITYPROFESSIONAL.COM,Foreign,2020-10-19,CA,CA,False,False,False,False,False,Temporary Help Services (561320),561320.0,2021-11-10 00:12:43.3833333,2020-10-19,STABILITY HEALTHCARE INC.,United States,,,,,,,,,,,,,,,,,,,
NCP RFM LIMITED PARTNERSHIP,Limited Partnership,Active,,1363002,2022-10-19,130 Main St.   2nd Floor,New Canaan,United States,06840,CT,OPERATIONS@NANTAHALAPARTNERS.COM,Foreign,2020-10-19,DE,DE,False,False,False,False,False,Other Financial Vehicles (525990),,2021-11-10 00:12:43.3833333,2020-10-16,NCP RFM LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,2ND FLOOR,,,,
AUTO DIRECT LLC,LLC,Active,Annual report past due,1363003,2021-03-31,12 ELLA GRASSO TPK,WINDSOR LOCKS,United States,06096,CT,BILL@CENTRALASLLC.COM,Domestic,2020-10-19,CT,Connecticut,False,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:43.3833333,,,,,,,,,,,,,,,,,,,,,,
AUCTION DIRECT LLC,LLC,Active,Annual report past due,1363006,2021-03-31,179 SOUTH MAIN ST,EAST WINDSOR,United States,06088,CT,BILL@CENTRALASLLC.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
JBMP BUILD LLC,LLC,Active,Annual report past due,1363009,2021-03-31,1786 BEDFORD STREET,STAMFORD,United States,06905,CT,CBYRNE@JBMPARCH.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
"BC PROPERTY SERVICES, LLC",LLC,Active,,1363013,2022-03-31,134 WOODHAVEN ROAD,GLASTONBURY,United States,06033,CT,biciilir@yahoo.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Framing Contractors (238130),,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
CONQUER REAL ESTATE LLC,LLC,Active,,1363014,2022-03-31,1 BREWERY SQ APT.#S330,NEW HAVEN,United States,06513,CT,Vincentm.montesinos@gmail.com,Domestic,2020-10-19,CT,Connecticut,False,False,True,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
S&M HANDYMAN SERVICES LLC,LLC,Active,Annual report past due,1363015,2021-03-31,34 B CHAMBERLAIN STREET,NEW HAVEN,United States,06513,CT,MALDONADOSBC@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
RC CARPENTRY & ROOFING LLC,LLC,Active,Annual report past due,1363016,2021-03-31,1 INDIAN ROCK LANE,GREENWICH,United States,06830,CT,RC28CARPENTRYCONT@HOTMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
GOSPEL VIBES RADIO AND PRODUCTION CORP.,Non-Stock,Active,First report past due,1363018,2021-01-17,No information provided,,,,,DELROYLINGO@YAHOO.COM,Domestic,2020-10-19,CT,Connecticut,False,False,True,False,False,Musical Groups and Artists (711130),711130.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
"EVS, INC.",Stock,Active,,1363020,2022-10-19,10025 VALLEY VIEW ROAD,EDEN PRAIRIE,United States,55344,MN,jstockwell@evs-eng.com,Foreign,2020-10-19,MN,MN,False,False,True,False,False,Engineering Services (541330),541330.0,2021-11-10 00:12:44.0233333,2020-11-01,"EVS, INC.",United States,,,,,,,,,,,,,,jstockwell@evs-eng.com,Suite 140,,,,
"JBG CONSTRUCTION, LLC",LLC,Active,Annual report past due,1363022,2021-03-31,7 QUAIL STREET,WATERFORD,United States,06385,CT,JBGCONSTRUCTIONCO@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Building Finishing Contractors (238390),238390.0,2021-11-10 00:12:44.0233333,,,,,,,,,,,,,,,,,,,,,,
"SNOW DAYS REAL ESTATE HOLDING COMPANY, LLC",LLC,Active,,1363023,2022-03-31,17 MAIN STREET,VERNON,United States,06066,CT,DENNISBELLAMY@YMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,True,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
"DWARD CONSULTING, LLC",LLC,Active,,1363024,2022-03-31,183 NORTH WALL STREET,MERIDEN,United States,06450,CT,wardd@chc1.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Professional and Management Development Training (611430),611430.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
"ABBOTTS LANE ASSOCIATION, INC.",Non-Stock,Active,Annual report past due,1363025,2021-11-03,C/O 7 ABBOTTS LANE,WESTPORT,United States,06880,CT,DONALD@TOBINONLINE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
RPJ940 LLC,LLC,Active,Annual report past due,1363026,2021-03-31,353 BAYONET STREET,NEW LONDON,United States,06320,CT,RPJ788819@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
90IN90 LLC,LLC,Active,,1363027,2022-03-31,442 EAST RIVER ROAD,RIVERTON,United States,06065,CT,compliance@zenbusiness.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),713940.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
MINDVIEW COUNSELING LLC,LLC,Active,Annual report past due,1363029,2021-03-31,80 HINMAN STREET,CHESHIRE,United States,06410,CT,DEREKCASE@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
"LEDGEROCK LAND, LLC",LLC,Active,,1363030,2022-03-31,150 BEDFORD ROAD,GREENWICH,United States,06831,CT,kprohl@hotmail.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
"LAPHAM PROPERTIES, LLC",LLC,Active,Annual report past due,1363031,2021-03-31,182 BIRGE PARK RD 2ND FLOOR,HARWINTON,United States,06791,CT,BRENDA@IAABCT.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
"SIMPLE PLAN TWO, LLC",LLC,Active,,1363032,2022-03-31,11 KEYSER ROAD,WESTPORT,United States,06880,CT,lianne@simplephb.com,Domestic,2020-10-19,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
MV TAXI SERVICES LLC,LLC,Active,,1363033,2022-03-31,427 PARK AVE,BRIDGEPORT,United States,06604,CT,RMONROY@ROHUER.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Taxi Service (485310),485310.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
"SOMERS AG HOLDING COMPANY, LLC",LLC,Active,,1363034,2022-03-31,164 HAMPDEN RD,SOMERS,United States,06071,CT,melissahorn1299@gmail.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
THE ART OF TOURISM LLC,LLC,Active,,1363035,2022-03-31,26 CATOONAH ST #97,RIDGEFIELD,United States,06877,CT,KarynDevlin33@gmail.com,Domestic,2020-10-19,CT,Connecticut,True,True,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
BRIGHT EYES TV CORP.,Non-Stock,Active,First report past due,1363036,2021-01-17,No information provided,,,,,HOGHCC@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,True,False,True,False,False,Other Performing Arts Companies (711190),711190.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
HEERING DIGITAL LLC,LLC,Active,Annual report past due,1363037,2021-03-31,142 NORTH STREET,RIDGEFIELD,United States,06877,CT,HEERINGLAW@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,All Other Information Services (519190),519190.0,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
GETCO FINANCIAL LLC,LLC,Active,Annual report past due,1363038,2021-03-31,43 BISSELL ST,MANCHESTER,United States,06040,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
SAN MARTIN VENDING LLC,LLC,Active,Annual report past due,1363039,2021-03-31,4 PROSPECT STREET,ANSONIA,United States,06401,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
8982 REAL ESTATE LLC,LLC,Active,Annual report past due,1363040,2021-03-31,40 LINDEN STREET,WATERBURY,United States,06702,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
THA LABB & EVENTS LLC,LLC,Active,Annual report past due,1363041,2021-03-31,905 MERIDEN RD,WATERBURY,United States,06705,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.7133333,,,,,,,,,,,,,,,,,,,,,,
T & MARTIN LLC,LLC,Dissolved,,1363042,2021-03-31,5 DRISCOLL DR,BRISTOL,United States,06010,CT,EFILE1234@INCFILE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,2021-03-30T00:00:00.000,,,
CBDSFRESH LLC,LLC,Active,Annual report past due,1363043,2021-03-31,340 WEST MAIN ST SUITE 2-1006,AVON,United States,06001,CT,SUPPORT@CBDSFRESH.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
WE CARE SHIPPING LLC,LLC,Active,,1363044,2022-03-31,178 SPRING STREET,MERIDEN,United States,06451,CT,clarensky.benoit@student.fairfield.edu,Domestic,2020-10-19,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
4J HOLDINGS LLC,LLC,Active,,1363045,2022-03-31,123 POVERTY ROAD,SOUTHBURY,United States,06488,CT,jpotter@intellinetsystems.net,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
1551 INC,Stock,Active,,1363046,2022-10-19,44 NORTH PLAINS INDUSTRIAL ROAD,WALLINGFORD,United States,06492,CT,EVERETT@ABAPC.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,5000.0,,,,,,
LUIS ARMANDO TORRES MORA LLC,LLC,Active,Annual report past due,1363048,2021-03-31,95 MAIN ST  #2,DANBURY,United States,06810,CT,KARENVALLEJOS@LIVE.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
MARCELA'S CLEANING LLC,LLC,Active,Annual report past due,1363049,2021-03-31,391B HIGH ST,NAUGATUCK,United States,06770,CT,MMDACRUZ2020@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
"THE NEW SANTOPIETRO DELI AND CATERING, LLC",LLC,Active,,1363050,2022-03-31,10 HARTLEY DRIVE,WOLCOTT,United States,06716,CT,jrusso6550@sbcglobal.net,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Caterers (722320),722320.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
FTC DESIGNS LLC,LLC,Active,,1363051,2022-03-31,90 MURRAY ST.,MIDDLETOWN,United States,06457,CT,Ftcdesigns20@gmail.com,Domestic,2020-10-19,CT,Connecticut,True,False,True,False,False,Family Clothing Stores (448140),442299.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
COME AS YOU ARE MINISTRIES,Religious,Active,,1363052,,No information provided,,,,,,Domestic,2020-10-19,,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
"LENDINGTREE (PARENT), INC.",Stock,Active,,1363053,2022-10-19,1415 Vantage Park Dr,Charlotte,United States,28203,NC,MANAGEDREPORTS@INCORP.COM,Foreign,2020-10-19,DE,DE,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,2021-11-10 00:12:45.3233333,2020-08-05,"LENDINGTREE, INC.",United States,,,,,,,,,,,,,,,STE 700,,,,
PUTNAM 111 LLC,LLC,Active,,1363054,2022-03-31,10 WESCOTT COURT,RIVERSIDE,United States,06878,CT,cheunglew@optonline.net,Domestic,2020-10-19,CT,Connecticut,False,False,True,False,False,Residential Property Managers (531311),,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
"LUX VENDING, LLC",LLC,Active,,1363055,2022-03-31,"3343 PEACHTREE RD NE, SUITE 750",ATLANTA,United States,30326,GA,Compliancemail@cscinfo.com,Foreign,2020-10-19,GA,GA,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",,2021-11-10 00:12:45.3233333,2020-06-09,"LUX VENDING, LLC",United States,,,,,,,,,,,,,,,,,,,
"PRC PROPERTIES, LLC",LLC,Active,,1363056,2022-03-31,93 BOSTON POST ROAD,MILFORD,United States,06460,CT,info@prcproperties.com,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
WHERE HEALING BEGINS LLC,LLC,Active,Annual report past due,1363057,2021-03-31,674 PROSPECT AVE SUITE 102,HARTFORD,United States,06105,CT,LORENASOTOBUNKER@YAHOO.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
JADAN CONNECTICUT LLC,LLC,Active,,1363058,2022-03-31,18 CENTER STREET,WALLINGFORD,United States,06492,CT,bjadanllc@yahoo.com,Domestic,2020-10-19,CT,Connecticut,True,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:45.3233333,,,,,,,,,,,,,,,,,,,,,,
FREDDY M SOLIS LLC,LLC,Active,Annual report past due,1363060,2021-03-31,25 OLD FIELD POINT RD APT 2E,GREENWICH,United States,06830,CT,ETURCIOS@TURCIOSINS.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Framing Contractors (238130),238130.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
"MEADOWBROOK CONDOMINIUM ASSOCIATION, INC.",Non-Stock,Active,First report past due,1363061,2021-01-17,No information provided,,,,,,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
GIGGLESTREET LLC,LLC,Active,Annual report past due,1363062,2021-03-31,480 GRASSY HILL ROAD,ORANGE,United States,06477,CT,4GIGGLESTREET@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,True,False,False,False,False,All Other Miscellaneous Manufacturing (339999),339999.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
"GREENLEAF ADVANCEMENT PARTNERS, LLC",LLC,Active,Annual report past due,1363063,2021-03-31,200 JEFFERSON DRIVE,GUILFORD,United States,06437,CT,INFO@GREENLEAFADVANCEMENT.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),541519.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
LOPEZ LANDSCAPING & HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1363064,2021-03-31,36 PONINGO ST APT 1,PORT CHESTER,United States,10573,NY,LOPEZRCARLOS123@GMAIL.COM,Foreign,2020-10-19,NY,NY,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:45.9166667,2020-10-19,LOPEZ LANDSCAPING & HOME IMPROVEMENT LLC,United States,"36 PONINGO ST APT 1, PORT CHESTER, NY, 10573, United States",36 PONINGO ST APT 1,PORT CHESTER,NY,10573,United States,"36 PONINGO ST APT 1, PORT CHESTER, NY, 10573, United States",36 PONINGO ST APT 1,PORT CHESTER,NY,10573,United States,,,,,,,
THE EDUCATOR?S PROMISE INCORPORATED,Non-Stock,Active,First report past due,1363065,2021-01-17,No information provided,,,,,TIFFANYMARIESTEWART@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,True,False,True,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
"CINEMIND, INC.",Non-Stock,Active,First report past due,1363066,2021-01-17,No information provided,,,,,INFO@CINEMIND.ORG,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Motion Picture and Video Production (512110),512110.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
88 RICHMOND HILL LLC,LLC,Active,,1363067,2022-03-31,11 EAST MAPLE STREET,NEW CANAAN,United States,06840,CT,ANTHONYTOMASRENTALS@GMAIL.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
67 OAKLAND LLC,LLC,Active,Annual report past due,1363068,2021-03-31,13 HILLSTON ROAD,TRUMBULL,,06611,CT,JONATHANGAVERN@YAHOO.COM,Domestic,2020-10-19,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:45.9166667,,,,,,,,,,,,,,,,,,,,,,
